Date,Close,High,Low,Open,Volume
2015-09-17,4729600000.0,4787200000.0,4582400000.0,4672000000.0,0
2015-09-18,4908800000.0,4960000000.0,4646400000.0,4678400000.0,0
2015-09-21,4723200000.0,4960000000.0,4646400000.0,4960000000.0,0
2015-09-22,4416000000.0,4748800000.0,4352000000.0,4646400000.0,0
2015-09-23,4160000000.0,4448000000.0,4115200000.0,4448000000.0,0
2015-09-24,4140800000.0,4281600000.0,4012800000.0,4128000000.0,0
2015-09-25,3961600000.0,4198400000.0,3904000000.0,4160000000.0,0
2015-09-28,3705600000.0,3961600000.0,3622400000.0,3961600000.0,0
2015-09-29,3481600000.0,3852800000.0,3456000000.0,3782400000.0,0
2015-09-30,3385600000.0,3648000000.0,3289600000.0,3552000000.0,0
2015-10-01,3424000000.0,3859200000.0,3232000000.0,3545600000.0,0
2015-10-02,3801600000.0,3833600000.0,3315200000.0,3430400000.0,0
2015-10-05,4102400000.0,4108800000.0,3827200000.0,3827200000.0,0
2015-10-06,4236800000.0,4332800000.0,3993600000.0,4057600000.0,0
2015-10-07,4505600000.0,4505600000.0,4172800000.0,4230400000.0,0
2015-10-08,4467200000.0,4569600000.0,4416000000.0,4512000000.0,0
2015-10-09,4473600000.0,4531200000.0,4224000000.0,4492800000.0,0
2015-10-12,4550400000.0,4576000000.0,4320000000.0,4467200000.0,0
2015-10-13,4076800000.0,4556800000.0,4044800000.0,4556800000.0,0
2015-10-14,4326400000.0,4345600000.0,4083200000.0,4102400000.0,0
2015-10-15,4710400000.0,4780800000.0,4256000000.0,4371200000.0,0
2015-10-16,4531200000.0,4793600000.0,4512000000.0,4691200000.0,0
2015-10-19,4582400000.0,4723200000.0,4460800000.0,4518400000.0,0
2015-10-20,4416000000.0,4697600000.0,4313600000.0,4595200000.0,0
2015-10-21,4204800000.0,4396800000.0,4108800000.0,4396800000.0,0
2015-10-22,4134400000.0,4230400000.0,4064000000.0,4230400000.0,0
2015-10-23,4192000000.0,4224000000.0,4115200000.0,4160000000.0,0
